0.53311	-1.19189
0.55669	-1.04162
0.59879	-0.88663
0.65548	-0.7558
0.73687	-0.60789
0.81476	-0.47706
0.89854	-0.34859
0.97179	-0.25902
1.04336	-0.17416
1.11549	-0.07928
1.16867	0.01501
1.19464	0.08808
1.21484	0.19239
1.22004	0.30613
1.20909	0.22127
1.18537	0.14819
1.15773	0.10989
1.12068	0.08808
1.08153	0.06628
1.0428	0.04447
1.00533	0.03446
0.96084	0.02974
0.91748	0.02503
0.87945	0.00794
0.8229	-0.01623
0.76915	-0.01387
0.72705	0.00322
0.69982	0.01501
0.66067	0.02267
0.61787	0.04447
0.57928	0.12639
0.56132	0.22127
0.54574	0.335
0.53423	0.48763
0.52904	0.58487
0.52202	0.74221
0.51922	0.62376
0.51866	0.23305
0.52034	-0.35802
0.52329	-0.97385
0.53241	-1.19189
