0.3944	-1.17579
0.41709	-1.13977
0.46099	-0.90926
0.52693	-0.63553
0.60755	-0.42497
0.70694	-0.25763
0.83278	-0.09251
0.95681	0.05211
1.04478	0.14742
1.10941	0.26711
1.13732	0.37571
1.1494	0.48653
1.14597	0.39621
1.11871	0.18565
1.05669	-0.06314
0.99011	-0.20111
0.92874	-0.33465
0.87815	-0.40946
0.79948	-0.49535
0.72555	-0.61282
0.65619	-0.70535
0.60298	-0.70757
0.50228	-0.5901
0.45969	-0.42276
0.41905	-0.16731
0.39179	0.06818
0.36698	0.40065
0.34903	0.72868
0.34446	0.44608
0.34642	0.05211
0.35181	-0.54466
0.36372	-0.88211
0.37645	-1.08769
0.39375	-1.16914
